mean_x,std_x,min_x,max_x,mean_y,std_y,min_y,max_y,speed_mean,speed_std,acc_mean,acc_std,dom_freq,speed_energy,label,start_row,end_row
395.52,3.5453631689856544,392.0,402.0,358.14,26.634571518986373,334.0,397.0,33.843597741509825,51.24925259855866,15.625,147.40595518838444,0.5,8814.031387018285,0,2100,2150
400.12,2.811689883326396,392.0,402.0,389.7,16.5072711251739,340.0,400.0,33.38796210504185,51.36505608360891,-15.625,160.10860571811872,0.5,1553.6224782580866,0,2125,2175
402.28,0.530659966456864,401.0,403.0,399.0,0.7483314773547883,397.0,400.0,4.267766952966369,6.654785138166984,0.0,98.82117688026186,3.0,93.5742476499203,0,2150,2200
402.16,0.6740919818541087,401.0,403.0,400.06,0.7851114570556209,399.0,401.0,3.914213562373095,6.397572366775895,0.0,76.54655446197431,2.0,88.2104324545582,0,2175,2225
402.26,0.9123595782365636,401.0,404.0,400.28,0.7222188034107115,399.0,401.0,4.974873734152917,7.088767969769881,0.0,108.25317547305482,0.5,74.2295867897386,0,2200,2250
403.42,1.2014990636700473,402.0,406.0,399.46,0.72691127381545,398.0,401.0,6.57842712474619,7.736232711365628,0.0,116.92679333668566,2.0,124.3357399626691,0,2225,2275
405.2,1.5874507866387544,402.0,407.0,398.96,0.44542114902640173,398.0,400.0,6.26776695296637,6.943709197777704,0.0,103.64452469860625,1.0,95.95545840045894,0,2250,2300
401.26,8.50366979603512,380.0,407.0,395.06,7.226091613036746,376.0,400.0,23.54540738719119,34.8477228950645,15.625,246.55834121967968,0.5,971.5036519872871,0,2275,2325
389.68,9.339036352857827,380.0,405.0,391.28,6.180744291749983,376.0,399.0,30.891037319480755,37.568188848099226,-15.625,267.4569182597452,0.5,4377.255844639422,0,2300,2350
391.02,10.094533173951136,382.0,406.0,388.7,3.976179070414209,377.0,392.0,28.62123521135879,33.48805600473213,-15.625,221.522607480591,1.0,2734.611047603581,0,2325,2375
402.88,7.612200733033779,382.0,408.0,388.34,3.782115809966691,377.0,394.0,26.301027827854792,31.654477332573475,18.75,222.38058593321495,0.5,1026.4827822910609,0,2350,2400
406.5,0.7,405.0,408.0,394.5,4.153311931459037,388.0,400.0,10.56816935862237,11.076497479233915,0.0,165.3594569415369,1.0,419.03678650274264,0,2375,2425
406.0,0.6633249580710799,405.0,407.0,399.34,1.4643770006388384,394.0,401.0,7.781566924756507,9.782495397164038,15.625,144.05538214520138,1.0,97.10112485282082,0,2400,2450
406.9,3.8065732621348563,401.0,415.0,383.04,30.474881459982747,304.0,401.0,53.92745844327787,71.83717161643084,-28.125,237.35604189697804,0.5,6285.038827482229,0,2425,2475
404.54,5.196960650226246,398.0,415.0,335.94,39.49552379700768,297.0,401.0,76.02868892689459,61.70201341980257,15.625,271.083618326523,0.5,8152.318890226668,0,2450,2500
402.6,3.0789608636681307,396.0,409.0,327.78,22.90003493447117,297.0,355.0,43.0149562838707,26.333695826767105,34.375,214.89914058692742,1.0,2601.218497775633,0,2475,2525
404.26,4.603520392047808,394.0,410.0,358.28,14.416712524011846,333.0,381.0,45.51767836510576,43.33752365157456,-25.0,234.60405473904325,0.5,3955.5303684204855,0,2500,2550
395.2,13.425349157470729,369.0,410.0,367.82,15.253445512408009,337.0,382.0,61.49587585771656,45.34045933261278,59.375,281.0589628974675,0.5,2825.358093886099,0,2525,2575
388.14,9.965962070969365,369.0,405.0,372.78,21.9018629344629,334.0,403.0,74.11057902293236,59.172392860908516,12.5,312.2498999199199,1.5,9340.218906011209,0,2550,2600
392.98,4.933518014561212,376.0,396.0,390.16,22.734432036010926,334.0,404.0,42.93094336568118,65.76993311333588,-43.75,281.3194358731725,0.5,3107.2508120908483,0,2575,2625
395.98,0.8121576201698779,394.0,397.0,403.26,0.5219195340279955,402.0,404.0,6.664213562373095,7.2431524625043275,12.5,128.23927830426993,7.0,102.88499051293647,0,2600,2650
396.62,0.6289674077406555,395.0,397.0,402.6,0.8,401.0,404.0,6.224873734152916,7.6240374470390115,-15.625,100.04881620988826,1.0,107.30509990829827,0,2625,2675
397.02,2.7963547700533278,394.0,406.0,395.34,10.81963030791718,371.0,403.0,21.173108553907,27.073039618123232,-3.125,105.92782035423933,0.5,914.3416400864056,0,2650,2700
405.76,9.142341056862842,394.0,416.0,385.78,9.592267719366468,371.0,401.0,28.431838034478034,28.90295116387267,15.625,122.03515118604147,0.5,1553.615140041236,0,2675,2725
415.04,1.9995999599919978,407.0,416.0,386.4,4.955804677345546,372.0,392.0,16.02882023730876,18.352845060100112,-34.375,137.25119534998592,0.5,213.52602978356074,0,2700,2750
415.88,0.3249615361854384,415.0,416.0,388.28,2.000399960007998,385.0,392.0,8.723230556748042,7.836150116850573,-15.625,89.75879135215669,0.5,119.0153184213944,0,2725,2775
